Name,Project Accession,Publication Date,Authors,Author Text,Journal,Related Concepts,Link,Description,Abstract,PDF,Data Types,Added By,Field 14
Host lifestyle affects human microbiota on dailytimescales,ERP006059,25/7/2014,"Lawrence David,Eric Alm","Lawrence A David1,2,11, Arne C Materna3, Jonathan Friedman4, Maria I Campos-Baptista5, Matthew C Blackburn6,Allison Perrotta7, Susan E Erdman8and Eric J Alm",Genome Biology,"Time Series,Host Microbe Interaction",https://genomebiology.biomedcentral.com/articles/10.1186/gb-2014-15-7-r89,Two researchers sampled their own gut microbiomes for a year,"Background

Disturbance to human microbiota may underlie several pathologies. Yet, we lack a comprehensive understanding of how lifestyle affects the dynamics of human-associated microbial communities.
Results

Here, we link over 10,000 longitudinal measurements of human wellness and action to the daily gut and salivary microbiota dynamics of two individuals over the course of one year. These time series show overall microbial communities to be stable for months. However, rare events in each subjects’ life rapidly and broadly impacted microbiota dynamics. Travel from the developed to the developing world in one subject led to a nearly two-fold increase in the Bacteroidetes to Firmicutes ratio, which reversed upon return. Enteric infection in the other subject resulted in the permanent decline of most gut bacterial taxa, which were replaced by genetically similar species. Still, even during periods of overall community stability, the dynamics of select microbial taxa could be associated with specific host behaviors. Most prominently, changes in host fiber intake positively correlated with next-day abundance changes among 15% of gut microbiota members.
Conclusions

Our findings suggest that although human-associated microbial communities are generally stable, they can be quickly and profoundly altered by common human actions and experiences.",gb-2014-15-7-r89 (https://dl.airtable.com/.attachments/0472ce82af40ddae2ef4fe455ba66531/bdf98d1a/gb-2014-15-7-r89),16S/ITS Amplicon,DCD,
Geospatial Resolution of Human and Bacterial Diversity with City-Scale Metagenomics,PRJNA271013,29/7/2015,"Ebrahim Afshinnekoo,Chris Mason","Ebrahim Afshinnekoo1,2,3,21, Cem Meydan1,2,21, Shanin Chowdhury1,2,4, Dyala Jaroudi1,2, Collin Boyer1,2, Nick Bernstein1,2, Julia M. Maritz5, Darryl Reeves1,2,6, Jorge Gandara1,2, Sagar Chhangawala1,2, Sofia Ahsanuddin1,2,7, Amber Simmons1,2, Timothy Nessel8, Bharathi Sundaresh8, Elizabeth Pereira8, Ellen Jorgensen9, Sergios-Orestis Kolokotronis10, Nell Kirchberger1,2, Isaac Garcia1,2, David Gandara1,2, Sean Dhanraj7, Tanzina Nawrin7, Yogesh Saletore1,2,6, Noah Alexander1,2, Priyanka Vijay1,2,6, Elizabeth M. Hénaff1,2, Paul Zumbo1,2, Michael Walsh11, Gregory D. O’Mullan3, Scott Tighe12, Joel T. Dudley13, Anya Dunaif14, Sean Ennis15,16, Eoghan O’Halloran15, Tiago R. Magalhaes15,16, Braden Boone17, Angela L. Jones17, Theodore R. Muth7, Katie Schneider Paolantonio5, Elizabeth Alter18, Eric E. Schadt13, Jeanne Garbarino14, Robert J. Prill19, Jane M. Carlton5, Shawn Levy17, and Christopher E. Mason",Cell Systems,"Urban Microbiome,Metagenome",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4651444/,A map of the microbiome of NYC subways,"The panoply of microorganisms and other species present in our environment influence human health and disease, especially in cities, but have not been profiled with metagenomics at a city-wide scale. We sequenced DNA from surfaces across the entire New York City (NYC) subway system, the Gowanus Canal, and public parks. Nearly half of the DNA (48%) does not match any known organism; identified organisms spanned 1,688 bacterial, viral, archaeal, and eukaryotic taxa, which were enriched for harmless genera associated with skin (e.g., Acinetobacter). Predicted ancestry of human DNA left on subway surfaces can recapitulate U.S. Census demographic data, and bacterial signatures can reveal a station’s history, such as marine-associated bacteria in a hurricane-flooded station. Some evidence of pathogens was found (Bacillus anthracis), but a lack of reported cases in NYC suggests that the pathogens represent a normal, urban microbiome. This baseline metagenomic map of NYC could help long-term disease surveillance, bioterrorism threat mitigation, and health management in the built environment of cities.",nihms662921.pdf (https://dl.airtable.com/.attachments/4bd82822efe64317974edf249381c9ac/b4fe43d0/nihms662921.pdf),Metagenomic,DCD,
Microbial communities display alternative stable states in a fluctuating environment,,26/5/2020,"Clare I. Abreu,Jeff Gore","ClareI. AbreuID1☯*,   VilhelmL. AndersenWoltz1☯, JonathanFriedmanID2, JeffGore",PLOS Computational Biology,"Ecology,Ecology and Competition,P. putida,P. veronii,Time Series",https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1007934,The researchers study competition in bacterial cultures,"The effect of environmental fluctuations is a major question in ecology. While it is widely accepted that fluctuations and other types of disturbances can increase biodiversity, there are fewer examples of other types of outcomes in a fluctuating environment. Here we explore this question with laboratory microcosms, using cocultures of two bacterial species, P. putida and P. veronii. At low dilution rates we observe competitive exclusion of P. veronii, whereas at high dilution rates we observe competitive exclusion of P. putida. When the dilution rate alternates between high and low, we do not observe coexistence between the species, but rather alternative stable states, in which only one species survives and initial species’ fractions determine the identity of the surviving species. The Lotka-Volterra model with a fluctuating mortality rate predicts that this outcome is independent of the timing of the fluctuations, and that the time-averaged mortality would also lead to alternative stable states, a prediction that we confirm experimentally. Other pairs of species can coexist in a fluctuating environment, and again consistent with the model we observe coexistence in the time-averaged dilution rate. We find a similar time-averaging result holds in a three-species community, highlighting that simple linear models can in some cases provide powerful insight into how communities will respond to environmental fluctuations.",journal.pcbi.1007934&type=printable (https://dl.airtable.com/.attachments/8988f4f6b3f5be1c9f9fa94235dc08d8/ea6b03cd/journal.pcbi.1007934typeprintable),Cultures,DCD,
In-field metagenome and 16S rRNA gene amplicon nanopore sequencing robustly characterize glacier microbiota,ERR2264275-ERR2264278,19/1/2019,"Arwyn Edwards,Andrew J. Hodson","Arwyn Edwards, Aliyah R. Debbonaire, Samuel M. Nicholls, Sara M.E. Rassner, Birgit Sattler, Joseph M. Cook, Tom Davy, André Soares, Luis A.J. Mur, Andrew J. Hodson",bioRxiv,"Nanopore,glacier,extreme microbiome",https://www.biorxiv.org/content/10.1101/073965v3.full,The researchers use nanopore to sequence sample from a glacier in-situ,"In the field of observation, chance favours only the prepared mind (Pasteur). Impressive developments in genomics have led microbiology to its third “Golden Age”. However, conventional metagenomics strategies necessitate retrograde transfer of samples from extreme or remote environments for later analysis, rendering the powerful insights gained retrospective in nature, striking a contrast with Pasteur’s dictum. Here we implement highly portable USB-based nanopore DNA sequencing platforms coupled with field-adapted environmental DNA extraction, rapid sequence library generation and off-line analyses of shotgun metagenome and 16S ribosomal RNA gene amplicon profiles to characterize microbiota dwelling within cryoconite holes upon Svalbard glaciers, the Greenland Ice Sheet and the Austrian Alps. We show in-field nanopore sequencing of metagenomes captures taxonomic composition of supraglacial microbiota, while 16S rRNA Furthermore, comparison of nanopore data with prior 16S rRNA gene V1-V3 pyrosequencing from the same samples, demonstrates strong correlations between profiles obtained from nanopore sequencing and laboratory based sequencing approaches. gene amplicon sequencing resolves bacterial community responses to habitat changes. Finally, we demonstrate the fidelity and sensitivity of in-field sequencing by analysis of mock communities using field protocols. Ultimately, in-field sequencing potentiated by nanopore devices raises the prospect of enhanced agility in exploring Earth’s most remote microbiomes.",,"16S/ITS Amplicon,nanopore",DCD,
The identification and use of robust transaminases from a domestic drain metagenome,,15/11/2018,"Leona Leipold,Helen C. Hailes","Leona Leipold a, Dragana Dobrijevic b, Jack W. E. Jeffries b, Maria Bawn b, Thomas S. Moody c, John M. Ward ORCID logo*b and Helen C. Hailes",Royal Society of Chemistry,"transaminases,Natural Product,Enzyme",https://pubs.rsc.org/en/content/articlehtml/2019/gc/c8gc02986e,,"Transaminases remain one of the most promising biocatalysts for use in chiral amine synthesis, however their industrial implementation has been hampered by their general instability towards, for example, high amine donor concentrations and organic solvent content. Herein we describe the identification, cloning and screening of 29 novel transaminases from a household drain metagenome. The most promising enzymes were fully characterised and the effects of pH, temperature, amine donor concentration and co-solvent determined. Several enzymes demonstrated good substrate tolerance as well as an unprecedented robustness for a wild-type transaminase. One enzyme in particular readily accepted IPA as an amine donor giving the same conversion with 2–50 equivalents, as well as being tolerant to a number of co-solvents, and operational in up to 50% DMSO – a characteristic as yet unobserved in a wild-type transaminase. This work highlights the value of using metagenomics for biocatalyst discovery from niche environments, and here has led to the identification of one of the most robust native transaminases described to date, with respect to IPA and DMSO tolerance",,chemistry,DCD,
"Compendium of 4,941 rumen metagenome-assembled genomes for rumen microbiome biology and enzyme discovery","PRJEB31266, PRJEB21624",1/8/2019,,"Robert D. Stewart1, Marc D. Auffret 2, Amanda Warr1, Alan W. Walker 3, Rainer Roehe 2and Mick Watson",,"Rumen,MAG",,,"Ruminants provide essential nutrition for billions of people worldwide. The rumen is a specialized stomach that is adapted to the breakdown of plant-derived complex polysaccharides. The genomes of the rumen microbiota encode thousands of enzymes adapted to digestion of the plant matter that dominates the ruminant diet. We assembled 4,941 rumen microbial metagenome-assembled  genomes  (MAGs)  using  approximately  6.5  terabases  of  short-  and  long-read  sequence  data  from  283  ruminant  cattle. We present a genome-resolved metagenomics workflow that enabled assembly of bacterial and archaeal genomes that were at least 80% complete. Of note, we obtained three single-contig, whole-chromosome assemblies of rumen bacteria, two of which represent previously unknown rumen species, assembled from long-read data. Using our rumen genome collection we predicted and annotated a large set of rumen proteins. Our set of rumen MAGs increases the rate of mapping of rumen metage-nomic sequencing reads from 15% to 50–70%. These genomic and protein resources will enable a better understanding of the structure and functions of the rumen microbiota.",41587_2019_Article_202.pdf (https://dl.airtable.com/.attachments/467deb3e886238676738870b15d31996/502d3efd/41587_2019_Article_202.pdf),"Metagenomic,nanopore,illumina",DCD,
Whole rumen metagenome sequencing allows classifying and predicting feed efficiency and intake levels in cattle,REGX00000000 REGX01000000,9/1/2019,"Beatriz Delgado,Oscar Gonzalez-Recio","Beatriz Delgado1, Alex Bach2,3, Isabel Guasch4, Carmen González5, Guillermo Elcoso4, Jennie E. Pryce6 & Oscar Gonzalez-Recio",Scientific Reports,"Rumen,Prevotella,Bacteroidetes",https://www.nature.com/articles/s41598-018-36673-w,The authors identify microbes associated with feed efficiency in cattle,"The current research was carried out to determine the associations between the rumen microbiota and traits related with feed efficiency in a Holstein cattle population (n = 30) using whole metagenome sequencing. Improving feed efficiency (FE) is important for a more sustainable livestock production. The variability for the efficiency of feed utilization in ruminants is partially controlled by the gastrointestinal microbiota. Modulating the microbiota composition can promote a more sustainable and efficient livestock. This study revealed that most efficient cows had larger relative abundance of Bacteroidetes (P = 0.041) and Prevotella (P = 0.003), while lower, but non-significant (P = 0.119), relative abundance of Firmicutes. Methanobacteria (P = 0.004) and Methanobrevibacter (P = 0.003) were also less abundant in the high-efficiency cows. A de novo metagenome assembly was carried out using de Bruijn graphs in MEGAHIT resulting in 496,375 contigs. An agnostic pre-selection of microbial contigs allowed high classification accuracy for FE and intake levels using hierarchical classification. These microbial contigs were also able to predict FE and intake levels with accuracy of 0.19 and 0.39, respectively, in an independent population (n = 31). Nonetheless, a larger potential accuracy up to 0.69 was foreseen in this study for datasets that allowed a larger statistical power. Enrichment analyses showed that genes within these contigs were mainly involved in fatty acids and cellulose degradation pathways. The findings indicated that there are differences between the microbiota compositions of high and low-efficiency animals both at the taxonomical and gene levels. These differences are even more evident in terms of intake levels. Some of these differences remain even between populations under different diets and environments, and can provide information on the feed utilization performance without information on the individual intake level.",s41598-018-36673-w.pdf (https://dl.airtable.com/.attachments/c3af77bc2f9ef9a7b237d4f11437d4b4/65df1415/s41598-018-36673-w.pdf),Metagenomic,DCD,
Identification of Nitrogen-Fixing Bradyrhizobium Associated With Roots of Field-Grown Sorghum by Metagenome and Proteome Analyses,LC367220–LC367221 LC433572–LC433596,12/3/2019,"Shintaro Hara,Kiwamu Minamisawa","Shintaro Hara1, Takashi Morikawa1, Sawa Wasai1, Yasuhiro Kasahara2, Taichi Koshiba3, Kiyoshi Yamazaki4, Toru Fujiwara4, Tsuyoshi Tokunaga3 and Kiwamu Minamisawa",Frontiers in Microbiology,"sorghum,nitrogen fixing,agricultural",https://www.frontiersin.org/articles/10.3389/fmicb.2019.00407/full,,"Sorghum (Sorghum bicolor) is cultivated worldwide for food, bioethanol, and fodder production. Although nitrogen fixation in sorghum has been studied since the 1970s, N2-fixing bacteria have not been widely examined in field-grown sorghum plants because the identification of functional diazotrophs depends on the culture method used. The aim of this study was to identify functional N2-fixing bacteria associated with field-grown sorghum by using “omics” approaches. Four lines of sorghum (KM1, KM2, KM4, and KM5) were grown in a field in Fukushima, Japan. The nitrogen-fixing activities of the roots, leaves, and stems were evaluated by acetylene reduction and 15N2-feeding assays. The highest nitrogen-fixing activities were detected in the roots of lines KM1 and KM2 at the late growth stage. Bacterial cells extracted from KM1 and KM2 roots were analyzed by metagenome, proteome, and isolation approaches and their DNA was isolated and sequenced. Nitrogenase structural gene sequences in the metagenome sequences were retrieved using two nitrogenase databases. Most sequences were assigned to nifHDK of Bradyrhizobium species, including non-nodulating Bradyrhizobium sp. S23321 and photosynthetic B. oligotrophicum S58T. Amplicon sequence and metagenome analysis revealed a relatively higher abundance (2.9–3.6%) of Bradyrhizobium in the roots. Proteome analysis indicated that three NifHDK proteins of Bradyrhizobium species were consistently detected across sample replicates. By using oligotrophic media, we purified eight bradyrhizobial isolates. Among them, two bradyrhizobial isolates possessed 16S rRNA and nif genes similar to those in S23321 and S58T which were predicted as functional diazotrophs by omics approaches. Both free-living cells of the isolates expressed N2-fixing activity in a semi-solid medium according to an acetylene reduction assay. These results suggest that major functional N2-fixing bacteria in sorghum roots are unique bradyrhizobia that resemble photosynthetic B. oligotrophicum S58T and non-nodulating Bradyrhizobium sp. S23321. Based on our findings, we discuss the N2-fixing activity level of sorghum plants, phylogenetic and genomic comparison with diazotrophic bacteria in other crops, and Bradyrhizobium diversity in N2 fixation and nodulation.",,16S/ITS Amplicon,DCD,
"Cadasides, Calcium-Dependent Acidic Lipopeptides from the Soil Metagenome That Are Active against Multidrug-Resistant Bacteria",,8/2/2019,"Changsheng Wu,Sean F. Brady",,Journal of the American Chemical Society,"biosynthetic gene cluster,Antibiotic",https://pubs.acs.org/doi/abs/10.1021/jacs.8b12087,,"The growing threat of antibiotic resistance necessitates the discovery of antibiotics that are active against resistant pathogens. Calcium-dependent antibiotics are a small family of structurally diverse acidic lipopeptides assembled by nonribosomal peptide synthetases (NRPSs) that are known to display various modes of action against antibiotic-resistant pathogens. Here we use NRPS adenylation (AD) domain sequencing to guide the identification, recovery, and cloning of the cde biosynthetic gene cluster from a soil metagenome. Heterologous expression of the cde biosynthetic gene cluster led to the production of cadasides A (1) and B (2), a subfamily of acidic lipopeptides that is distinct from previously characterized calcium-dependent antibiotics in terms of both overall structure and acidic residue rich peptide core. The cadasides inhibit the growth of multidrug-resistant Gram-positive pathogens by disrupting cell wall biosynthesis in the presence of high concentrations of calcium. Interestingly, sequencing of AD domains from diverse soils revealed that sequences predicted to arise from cadaside-like gene clusters are predominantly found in soils containing high levels of calcium carbonate.",,,DCD,
"Metagenome tracking biogeographic agroecology: Phytobiota of tomatoes from Virginia, Maryland, North Carolina and California",PRJNA506919,1/6/2019,"Andrea Ottesen,Eric Brown",AndreaOttesenaPadminiRamachandranaElizabethReedaGanyuGucSashaGorhambDianeDucharmeaMichaelNewelldStevenRideouteThomasTurinifThomasHillgErrolStrainaEricBrowna,Food Microbiology,"Phytobiota,Phyllosphere,Salmonella,agricultural",https://www.sciencedirect.com/science/article/pii/S0740002018302508,,"Describing baseline microbiota associated with agricultural commodities in the field is an important step towards improving our understanding of a wide range of important objectives from plant pathology and horticultural sustainability, to food safety. Environmental pressures on plants (wind, dust, drought, water, temperature) vary by geography and characterizing the impact of these variable pressures on phyllosphere microbiota will contribute to improved stewardship of fresh produce for both plant and human health. A higher resolution understanding of the incidence of human pathogens on food plants and co-occurring phytobiota using metagenomic approaches (metagenome tracking) may contribute to improved source attribution and risk assessment in cases where human pathogens become introduced to agro-ecologies. Between 1990 and 2007, as many as 1990 culture-confirmed Salmonella illnesses were linked to tomatoes from as many as 12 multistate outbreaks (Bell et al., 2012; Bell et al., 2015; Bennett et al., 2014; CDC, 2004; CDC, 2007; Greene et al., 2005a; Gruszynski et al., 2014). When possible, source attribution for these incidents revealed a biogeographic trend, most events were associated with eastern growing regions. To improve our understanding of potential biogeographically linked trends in contamination of tomatoes by Salmonella, we profiled microbiota from the surfaces of tomatoes from Virginia, Maryland, North Carolina and California. Bacterial profiles from California tomatoes were completely different than those of Maryland, Virginia and North Carolina (which were highly similar to each other). A statistically significant enrichment of Firmicutes taxa was observed in California phytobiota compared to the three eastern states. Rhizobiaceae, Sphingobacteriaceae and Xanthobacteraceae were the most abundant bacterial families associated with tomatoes grown in eastern states. These baseline metagenomic profiles of phyllosphere microbiota may contribute to improved understanding of how certain ecologies provide supportive resources for human pathogens on plants and how components of certain agro-ecologies may play a role in the introduction of human pathogens to plants.",,16S/ITS Amplicon,DCD,
