Florida;apatlaco river;;;;;;;;
Arctic;polar arctic circle;;;;;;;;
China;china;guandong;Gongxiaoshe hot spring;Jinze hot spring;eryuan hot spring;;;;
Shetland Islands;deception island;;;;;;;;
California;cerro caliente;east loma ridge;el dorado national forest;hopland;angelo coastal reserve;south san francisco;mclaughlin reserve; eel river critical zone observatory;wake forest vervet 
NYC;new york city;;;;;;;;
Pacific;mariana trench;;;;;;;;
Africa;algeria;;;;;;;;
Chile;atacama desert;;;;;;;;
Yellowstone;yellowstone lake;;;;;;;;
Maine;eddy worm burrow 2 cm metagenome;merrow island sediment 2 metagenome;crystal bog;gorham;;;;;
Baltimore;baltimore;;;;;;;;
Barcelona;barcelona;;;;;;;;
Berlin;berlin;;;;;;;;
Denver;denver;;;;;;;;
Doha;doha;;;;;;;;
Brisbane;brisbane;;;;;;;;
Fairbanks;fairbanks;;;;;;;;
Hong Kong;Hong Kong;;;;;;;;
Ilorin;ilorin;;;;;;;;
Kyiv;kyiv;;;;;;;;
Lisbon;lisbon;;;;;;;;
London;london;;;;;;;;
Oslo;oslo;;;;;;;;
Porto;porto;;;;;;;;
Seoul;seoul;;;;;;;;
Singapore;singapore;;;;;;;;
Stockholm;stockholm;;;;;;;;
Taipei;taipei;;;;;;;;
Tokyo;tokyo;;;;;;;;
Zurich;zurich;;;;;;;;
Canada;canadian;calvert island;banff;columbia river;british columbia;spotted lake;bonanza creek;;
Wisconsin;wisconsin;;;;;;;;
Japan;japan;kirishima hot springs;lake biwa;;;;;;
Germany;klosterneuburg;germany;scheyern;;;;;;
Georgia;georgia;;;;;;;;
Amazon;amazon;;;;;;;;
Antarctic;antarctic;lake fryxell ;lake vida;lake vostov;;;;;
Bangladesh;bangladesh;;;;;;;;
Brazil;brazil;;;;;;;;
Australia;lake clifton;;;;;;;;
Kansas;cheney reservoir ;kansas;;;;;;;
Michigan;kellogg biological station;;;;;;;;
Ohio;ohio;;;;;;;;
Massachusetts;petersham;falmouth;;;;;;;
Indianapolis;university of notre dame;;;;;;;;
Russia;lake baikal;;;;;;;;
Seattle;lake washington;;;;;;;;
Pennsylvania;pennsylvania;;;;;;;;
Virginia;jamestown;;;;;;;;
Iowa; iowa;;;;;;;;
Utah;utah;;;;;;;;
India;india;kerala;;;;;;;
Texas;big Spring;texas;west bengal;;;;;;
Nevada;cold creek;great boiling spring;;;;;;;
Colorado;Rifle;;;;;;;;
Maryland;sandy''s spring west;;;;;;;;
South Africa;south africa;;;;;;;;
Oklahoma;zodletone spring;Oklahoma;;;;;;;
Spain;isla cristina;pamplona;santa pola;;;;;;
Malaysia;JOHOR ENDAU-ROMPIN NATIONAL PARK;;;;;;;;
Great Lakes;lake Eerie;lake huron;lake michigan;;;;;;
Indonesia;gulf of boni;;;;;;;;
Switzerland;switzerland;;;;;;;;
Thailand;pru toh daeng peat swamp;;;;;;;;
Louisiana;river calcaieu;;;;;;;;
Austria;Vienna;;;;;;;;
Minnesota;minnesota;;;;;;;;
Tennessee;tennessee;;;;;;;;
Alaska;alaska;barrow;;;;;;;
San Juan Basin;san juan basin ;;;;;;;;
Wisconsin;arlington agricultural research station in wisconsin;;;;;;;;
Iowa;iowa;;;;;;;;
West Virginia;west virginia;;;;;;;;
Pennsylvania;pensylvannia;rose lake;;;;;;;
North Carolina;north carolina;;;;;;;;
Puerto Rico;puerto rico;;;;;;;;
Panama;panama;;;;;;;;
Maryland;maryland;;;;;;;;
Bosnia and Herzegovina;bosnia and herzegovina;;;;;;;;
