Other Soil;soil;arid soil;wetland soil microbial communities;tropical soil microbial communities;mars analog;soil microbiome;;;;;;;;;;;;
Sediment;sediment;powder river basin;;sediment microbial communities;;coastal sediment microbial communities;cross river sediment 1 metagenome;freshwater sediment microbial communities;sediment metagenome;marine sediment metagenome;;;;;;;;
Freshwater;superficial water;lake water metagenome;wetland metagenome;;fjord;estuary;;;;;;;;;;;;
Anthropogenic;historic stone ruins;hospital metagenomes;hospital wastewater;agricultural site;;;;;;;;;;;;;;
Fermentation;biogas fermenter metagenome;fermentation metagenome;;;;;;;;;;;;;;;;
Sludge;sludge;;;;;;;;;;;;;;;;;
Gas;gas;;;;;;;;;;;;;;;;;
Forest;hardwood forest soil microbial communities;;;;;;;;;;;;;;;;;
Cropland;cropland;;;;;;;;;;;;;;;;;
Grassland;grassland;;;;;;;;;;;;;;;;;
Mangrove;mangrove;;;;;;;;;;;;;;;;;
Shrubland;shrubland;;;;;;;;;;;;;;;;;
Tundra;tundra;;;;;;;;;;;;;;;;;
Woodland;woodland;;;;;;;;;;;;;;;;;
Beach;beach sand metagenome;;;;;;;;;;;;;;;;;
Rock/Mineral;rock metagenome;natural rock samples;6-week pyrite metagenome;3-month chalcopyrite metagenome;uranium;uranium-contaminated;uranium-contaminated site;;;;;;;;;;;
Seawater;marine metagenome;seawater metagenome;deep sea;marine microbial communities;seawater microbial communities;ammonia-oxidizing marine archaeal communities;sea water microbial communities;seawater viral communities;sea;marine;;;;;;;;
Coal;coal metagenome;coal bed;;;;;;;;;;;;;;;;
Brine;brine metagenome;cryopeg brine microbial communities;deep brine pools;urania brine metagenome;;;;;;;;;;;;;;
HotSpring;hot springs metagenome;hot spring phototrophic mat microbial communities;;;;;;;;;;;;;;;;
Salt Marsh;salt marsh grasses;salt marsh sediment microbial communities;;;;;;;;;;;;;;;;
Manure;manure metagenome;;;;;;;;;;;;;;;;;
Microbial Mat;microbal mat structure;microbial mat bacterial communities;microbial mat metagenome;biofilm metagenome;;;;;;;;;;;;;;
Peat;peat metagenome;lab enriched peat soil microbial communities;;peat permafrost microbial communities;;;;;;;;;;;;;;
Worm Burrow;merrow island worm burrow metagenome;;;;;;;;;;;;;;;;;
Fungi/Fungal;enriched fungal communities;;fungal community composition;fungal community composition;;;;;;;;;;;;;;
Litter;plant litter microbial communities;leaf litter metagenome;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
