Human;human gut metagenome;human stool;human blood metagenome;human saliva metagenome;human microbiome;;;;;;;;;;;;;;;;;;
Mice;crc mice;crc;apoe4 mouse model;mouse model;mouse gut metagenome;c57bl mice;ap-1b knockout mice;;;;;;;;;;;;;;;;
Cicadas;cicadas;;;;;;;;;;;;;;;;;;;;;;
Seagrass;seagrass metagenome;zostera muelleri;;;;;;;;;;;;;;;;;;;;;
Fish;fish metagenome;fish gut metagenomes;fish pathogens;;;;;;;;;;;;;;;;;;;;
Sheep;sheep gut metagenome;;;;;;;;;;;;;;;;;;;;;;
Dog;dog;;;;;;;;;;;;;;;;;;;;;;
Lizard;lizard;;;;;;;;;;;;;;;;;;;;;;
Chicken;chicken;gallus gallus;chickens;chicken gut microbiota;chicken gut microbiota;poultry;;;;;;;;;;;;;;;;;
Bat;bat;pipistrellus pipistrellus;vespertilionidae;microchiroptera;;;;;;;;;;;;;;;;;;;
Shrimp;mud shrimp upogebia pugettensis;;eonycteris spelaea;;;;;;;;;;;;;;;;;;;;
Bivalve;neaeromya rugifera;oyster;;;;;;;;;;;;;;;;;;;;;
Primate;rhesus macaques;baboon;;;;;;;;;;;;;;;;;;;;;
Pinus;pinus banksiana;p. tremula;lepidopterella-pinus;;;;;;;;;;;;;;;;;;;;
Fungi;endocronartium harknessii;lepidopterella-pinus;glonium-pinus;cronartium quercuum f. sp. banksianae;fungus metagenome;ophiocordyceps;;;;;;;;;;;;;;;;;
Other Plants;plant metagenome;coriaria myrtifolia;moss metagenome;populus deltoides microbial communities;fresh pasture (ryegrass/clover);sprague-dawley;crocus sativus (saffron);jackfruit pulp;edamame root nodule microbial communities;edamame nodules 1 metagenome;glonium-pinus;vegetable;plant-growth-promotion;plant-microbe-interaction;plant-herbivore interaction;epiphytes;standard nitrogen fertilization input;;cisthante sp. (pata de guanaco) rizhosphere;plant metagenome;paraburkholderia;actinorhizal;joseph''s coat
Goat;goat fecal pellet;;;;;;;;;;;;;;;;;;;;;;
Penguin;penguins;;;;;;;;;;;;;;;;;;;;;;
Invertebrates;insect gut metagenome;invertebrate gut metagenome;insect gut metagenome;helmiths;ticks;parasite;soil beetle;wasp;;;;;;;;;;;;;;;
Cow;bovine rumen microbial communities;bovine gut metagenome;livestock;;;;;;;;;;;;;;;;;;;;
Cabbage looper;cabbage looper;trichoplusia ni;;;;;;;;;;;;;;;;;;;;;
Triticum;triticum aestivum;triticum spelta;wheat;;;;;;;;;;;;;;;;;;;;
Eukaryota;eukaryota;metazoa;chordata;craniata;vertebrata;euteleostomi;mammalia;;;;;;;;;;;;;;;;
Neandertal;neandertal;;;;;;;;;;;;;;;;;;;;;;
Bison;bison;;;;;;;;;;;;;;;;;;;;;;
Anguilla;anguilla;;;;;;;;;;;;;;;;;;;;;;
Bee;honey bee;;;;;;;;;;;;;;;;;;;;;;
Swine;swine;;;;;;;;;;;;;;;;;;;;;;
Trout;rainbow trout;;;;;;;;;;;;;;;;;;;;;;
Marron;crayfish marron;;;;;;;;;;;;;;;;;;;;;;
Tomato;tomato;solanum lycopersicum l.;;;;;;;;;;;;;;;;;;;;;
Corn;corn;maize;maize cc-2;;;;;;;;;;;;;;;;;;;;
Yam;yams;;;;;;;;;;;;;;;;;;;;;;
Fruit Fly;anastrepha obliqua;;;;;;;;;;;;;;;;;;;;;;
Songbird;songbird;;;;;;;;;;;;;;;;;;;;;;
Cucumber;cucumber;;;;;;;;;;;;;;;;;;;;;;
