Anthropogenic;historic stone ruins;hospital metagenomes;hospital wastewater;agricultural site;industrial wastewater;waste water;contaminated soil;mine tailing;sewage;;;;;;;;;
Fermentation;biogas fermenter metagenome;fermentation metagenome;;;;;;;;;;;;;;;;
Sludge;sludge;activated sludge;anaerobic digested sludge;leachate;secondary sludge;;;;;;;;;;;;;
Gas;gas;;;;;;;;;;;;;;;;;
Forest;hardwood forest soil microbial communities;forest;;;;;;;;;;;;;;;;
Cropland;cropland;;;;;;;;;;;;;;;;;
Grassland;grassland;;;;;;;;;;;;;;;;;
Mangrove;mangrove;;;;;;;;;;;;;;;;;
Shrubland;shrubland;;;;;;;;;;;;;;;;;
Tundra;tundra;;;;;;;;;;;;;;;;;
Woodland;woodland;;;;;;;;;;;;;;;;;
Beach;beach sand metagenome;sand;;;;;;;;;;;;;;;;
Seawater;marine metagenome;seawater metagenome;deep sea;marine microbial communities;seawater microbial communities;ammonia-oxidizing marine archaeal communities;sea water microbial communities;seawater viral communities;sea;marine;hypersaline water;;;;;;;
Coal;coal metagenome;coal bed;coal;;;;;;;;;;;;;;;
Brine;brine metagenome;cryopeg brine microbial communities;deep brine pools;urania brine metagenome;brine;;;;;;;;;;;;;
HotSpring;hot springs metagenome;hot spring phototrophic mat microbial communities;;;;;;;;;;;;;;;;
Salt Marsh;salt marsh grasses;salt marsh sediment microbial communities;;;;;;;;;;;;;;;;
Manure;manure metagenome;pig manure;;;;;;;;;;;;;;;;
Microbial Mat;microbal mat structure;microbial mat bacterial communities;microbial mat metagenome;biofilm metagenome;microbial mat material;;;;;;;;;;;;;
Peat;peat metagenome;lab enriched peat soil microbial communities;;peat permafrost microbial communities;;;;;;;;;;;;;;
Worm Burrow;merrow island worm burrow metagenome;;;;;;;;;;;;;;;;;
Fungi/Fungal;enriched fungal communities;;fungal community composition;fungal community composition;;;;;;;;;;;;;;
Litter;plant litter microbial communities;leaf litter metagenome;;;;;;;;;;;;;;;;
Clean Water;distilled water;drinking water;sterile water;tap water;;;;;;;;;;;;;;
Eutrophic Water;eutrophic water;;;;;;;;;;;;;;;;;
Ice;permafrost;;;;;;;;;;;;;;;;;
Oil;oil;shale;petroleum;;;;;;;;;;;;;;;
Other_Biomaterial;bagasse;compost;hay;poultry litter;silage;straw;rice straw;detritus;;;;;;;;;;
Air;aerosol;biogas;air;;;;;;;;;;;;;;;
Soil;soil;;soil microbiome;;;;;;;;;;;;;;;
Wetland Soil Microbial Communities;wetland soil microbial communities;;;;;;;;;;;;;;;;;
Tropical Soil;tropical soil microbial communities;;;;;;;;;;;;;;;;;
Mars Analog;mars analog;;;;;;;;;;;;;;;;;
Bulk Soil;bulk soil;;;;;;;;;;;;;;;;;
Clay;clay;;;;;;;;;;;;;;;;;
Fluvisoil;fluvisoil;;;;;;;;;;;;;;;;;
Histosoil;histosoil;;;;;;;;;;;;;;;;;
Loam;loam;;;;;;;;;;;;;;;;;
Mud;mud;;;;;;;;;;;;;;;;;
