Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Alphaproteobacteria;cytology;metabolism;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Animals;;;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Ascomycota;cytology;metabolism;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Biological Evolution;;;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Flavobacteriaceae;cytology;metabolism;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Hemiptera;microbiology;;;;
Recurrent symbiont recruitment from fungal parasites in cicadas;PRJNA450123;Symbiosis;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Animals;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Aquaculture;methods;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Astacoidea;microbiology;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Biodiversity;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Filtration;methods;standards;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Fresh Water;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Gastrointestinal Microbiome;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Health Status;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Hemolymph;;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Immunity;genetics;;;;
Biological filters regulate water quality, modulate health status, immune indices and gut microbiota of freshwater crayfish, marron (Cherax cainii, Austin, 2002);PRJNA549032;Water Quality;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Anaerobiosis;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Biofuels;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Bioreactors;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Digestion;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Metabolic Networks and Pathways;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Methane;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Sewage;;;;;
Enhanced biogas production from municipal solid waste via co-digestion with sewage sludge and metabolic pathway analysis;PRJNA548424;Solid Waste;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Animals;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Bees;physiology;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Flowers;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Gardens;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Plants;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Pollen;;;;;
A screening-level assessment of the pollinator-attractiveness of ornamental nursery stock using a honey bee foraging assay;PRJNA548313;Pollination;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Animals;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Calcinosis;genetics;metabolism;microbiology;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Female;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Glycosylation;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Glycosyltransferases;metabolism;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Hyperostosis, Cortical, Congenital;genetics;metabolism;microbiology;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Hyperphosphatemia;genetics;metabolism;microbiology;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Male;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Mice;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Mice, Inbred C57BL;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Mice, Knockout;;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Microbiota;genetics;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Mucins;chemistry;metabolism;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;N-Acetylgalactosaminyltransferases;genetics;metabolism;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Polysaccharides;metabolism;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;RNA, Ribosomal, 16S;genetics;;;;
Loss of the disease-associated glycosyltransferase Galnt3 alters Muc10 glycosylation and the composition of the oral microbiome;PRJNA547610;Salivary Glands;metabolism;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Animals;;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Arousal;physiology;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Bacteria;genetics;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Electric Stimulation;methods;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Estrous Cycle;physiology;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Female;;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Microbiota;genetics;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Pudendal Nerve;physiology;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;RNA, Ribosomal, 16S;genetics;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Rats;;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Rats, Sprague-Dawley;;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Rodentia;microbiology;;;;
The rodent vaginal microbiome across the estrous cycle and the effect of genital nerve electrical stimulation;PRJNA545958;Vagina;microbiology;physiology;;;
The evolution of realized niches within freshwater Synechococcus;PRJNA544938;Biological Evolution;;;;;
The evolution of realized niches within freshwater Synechococcus;PRJNA544938;Brazil;;;;;
The evolution of realized niches within freshwater Synechococcus;PRJNA544938;Ecosystem;;;;;
