,All
PATHOMAP_AB001,All
PATHOMAP_AB002,All
PATHOMAP_AB003,All
PATHOMAP_AB004,All
PATHOMAP_AB005,All
PATHOMAP_AB006,All
PATHOMAP_AB007,All
PATHOMAP_AB008,All
PATHOMAP_AB009,All
PATHOMAP_AB010,All
PATHOMAP_AB011,All
PATHOMAP_AB012,All
PATHOMAP_AB013,All
PATHOMAP_AB014,All
PATHOMAP_AB015,All
PATHOMAP_AB016,All
PATHOMAP_AB017,All
PATHOMAP_AB018,All
PATHOMAP_AB019,All
PATHOMAP_AB020,All
PATHOMAP_AB021,All
PATHOMAP_AB022,All
PATHOMAP_AB023,All
PATHOMAP_AB024,All
PATHOMAP_AB025,All
PATHOMAP_AB026,All
PATHOMAP_AB027,All
PATHOMAP_AB028,All
PATHOMAP_AB029,All
PATHOMAP_AB030,All
PATHOMAP_Culture01,All
PATHOMAP_Culture02,All
PATHOMAP_Culture03,All
PATHOMAP_Culture05,All
PATHOMAP_Culture07,All
PATHOMAP_Culture08,All
PATHOMAP_Culture09,All
PATHOMAP_Culture10,All
PATHOMAP_Culture11,All
PATHOMAP_Culture12,All
PATHOMAP_FALL36,All
PATHOMAP_FALL37,All
PATHOMAP_GC11,All
PATHOMAP_GC14,All
PATHOMAP_GC7,All
PATHOMAP_Gowanus,All
PATHOMAP_P00007,All
PATHOMAP_P00007_hudsonmiseq,All
PATHOMAP_P00008,All
PATHOMAP_P00008_hudsonmiseq,All
PATHOMAP_P00009,All
PATHOMAP_P00009_hudsonmiseq,All
PATHOMAP_P00010,All
PATHOMAP_P00010_hudsonmiseq,All
PATHOMAP_P00011,All
PATHOMAP_P00011_hudsonmiseq,All
PATHOMAP_P00024,All
PATHOMAP_P00024_hudsonmiseq,All
PATHOMAP_P00027,All
PATHOMAP_P00027_hudsonmiseq,All
PATHOMAP_P00030,All
PATHOMAP_P00030_hudsonmiseq,All
PATHOMAP_P00031,All
PATHOMAP_P00031_hudsonmiseq,All
PATHOMAP_P00032,All
PATHOMAP_P00032_hudsonmiseq,All
PATHOMAP_P00033,All
PATHOMAP_P00033_hudsonmiseq,All
PATHOMAP_P00034,All
PATHOMAP_P00034_hudsonmiseq,All
PATHOMAP_P00035,All
PATHOMAP_P00035_hudsonmiseq,All
PATHOMAP_P00036,All
PATHOMAP_P00036_hudsonmiseq,All
PATHOMAP_P00041,All
PATHOMAP_P00041_hudsonmiseq,All
PATHOMAP_P00042,All
PATHOMAP_P00042_hudsonmiseq,All
PATHOMAP_P00044,All
PATHOMAP_P00044_hudsonmiseq,All
PATHOMAP_P00046_hiseq,All
PATHOMAP_P00046_hudsonmiseq,All
PATHOMAP_P00046_miseq,All
PATHOMAP_P00047_hiseq,All
PATHOMAP_P00047_miseq,All
PATHOMAP_P00049_hiseq,All
PATHOMAP_P00049_hudsonmiseq,All
PATHOMAP_P00049_miseq,All
PATHOMAP_P00050_hiseq,All
PATHOMAP_P00050_hudsonmiseq,All
PATHOMAP_P00050_miseq,All
PATHOMAP_P00051_hiseq,All
PATHOMAP_P00051_hudsonmiseq,All
PATHOMAP_P00051_miseq,All
PATHOMAP_P00052_hiseq,All
PATHOMAP_P00052_hudsonmiseq,All
PATHOMAP_P00052_miseq,All
PATHOMAP_P00053,All
PATHOMAP_P00053_hudsonmiseq,All
PATHOMAP_P00054_hiseq,All
PATHOMAP_P00054_hudsonmiseq,All
PATHOMAP_P00054_miseq,All
PATHOMAP_P00055_hiseq,All
PATHOMAP_P00055_hudsonmiseq,All
PATHOMAP_P00055_miseq,All
PATHOMAP_P00056_hiseq,All
PATHOMAP_P00056_hudsonmiseq,All
PATHOMAP_P00056_miseq,All
PATHOMAP_P00058_hiseq,All
PATHOMAP_P00058_hudsonmiseq,All
PATHOMAP_P00058_miseq,All
PATHOMAP_P00059,All
PATHOMAP_P00059_hudsonmiseq,All
PATHOMAP_P00060,All
PATHOMAP_P00060_hudsonmiseq,All
PATHOMAP_P00061_hiseq,All
PATHOMAP_P00061_hudsonmiseq,All
PATHOMAP_P00061_miseq,All
PATHOMAP_P00062,All
PATHOMAP_P00062_hudsonmiseq,All
PATHOMAP_P00063,All
PATHOMAP_P00063_hudsonmiseq,All
PATHOMAP_P00064,All
PATHOMAP_P00066,All
PATHOMAP_P00067,All
PATHOMAP_P00068,All
PATHOMAP_P00068_hudsonmiseq,All
PATHOMAP_P00069,All
PATHOMAP_P00069_hudsonmiseq,All
PATHOMAP_P00070,All
PATHOMAP_P00072,All
PATHOMAP_P00073,All
PATHOMAP_P00074,All
PATHOMAP_P00074_hudsonmiseq,All
PATHOMAP_P00079,All
PATHOMAP_P00080_hiseq,All
PATHOMAP_P00080_hudsonmiseq,All
PATHOMAP_P00080_miseq,All
PATHOMAP_P00081_hiseq,All
PATHOMAP_P00081_hudsonmiseq,All
PATHOMAP_P00081_miseq,All
PATHOMAP_P00083,All
PATHOMAP_P00083_hudsonmiseq,All
PATHOMAP_P00084_hiseq,All
PATHOMAP_P00084_hudsonmiseq,All
PATHOMAP_P00084_miseq,All
PATHOMAP_P00085,All
PATHOMAP_P00085_hudsonmiseq,All
PATHOMAP_P00086,All
PATHOMAP_P00086_hudsonmiseq,All
PATHOMAP_P00087_hiseq,All
PATHOMAP_P00087_hudsonmiseq,All
PATHOMAP_P00087_miseq,All
PATHOMAP_P00088_hiseq,All
PATHOMAP_P00088_hudsonmiseq,All
PATHOMAP_P00088_miseq,All
PATHOMAP_P00089,All
PATHOMAP_P00090_hiseq,All
PATHOMAP_P00090_hudsonmiseq,All
PATHOMAP_P00090_miseq,All
PATHOMAP_P00091_hiseq,All
PATHOMAP_P00091_hudsonmiseq,All
PATHOMAP_P00091_miseq,All
PATHOMAP_P00092,All
PATHOMAP_P00093,All
PATHOMAP_P00093_hudsonmiseq,All
PATHOMAP_P00094_hiseq,All
PATHOMAP_P00094_hudsonmiseq,All
PATHOMAP_P00094_miseq,All
PATHOMAP_P00095,All
PATHOMAP_P00099,All
PATHOMAP_P00100,All
PATHOMAP_P00100_hudsonmiseq,All
PATHOMAP_P00101,All
PATHOMAP_P00102,All
PATHOMAP_P00103,All
PATHOMAP_P00103_hudsonmiseq,All
PATHOMAP_P00107,All
PATHOMAP_P00108,All
PATHOMAP_P00109,All
PATHOMAP_P00109_hudsonmiseq,All
PATHOMAP_P00111,All
PATHOMAP_P00112,All
PATHOMAP_P00112_hudsonmiseq,All
PATHOMAP_P00113,All
PATHOMAP_P00113_hudsonmiseq,All
PATHOMAP_P00114,All
PATHOMAP_P00115,All
PATHOMAP_P00116,All
PATHOMAP_P00117,All
PATHOMAP_P00117_hudsonmiseq,All
PATHOMAP_P00118,All
PATHOMAP_P00118_hudsonmiseq,All
PATHOMAP_P00119,All
PATHOMAP_P00120,All
PATHOMAP_P00120_hudsonmiseq,All
PATHOMAP_P00121,All
PATHOMAP_P00121_hudsonmiseq,All
PATHOMAP_P00122,All
PATHOMAP_P00123,All
PATHOMAP_P00123_hudsonmiseq,All
PATHOMAP_P00124,All
PATHOMAP_P00124_hudsonmiseq,All
PATHOMAP_P00125,All
PATHOMAP_P00125_hudsonmiseq,All
PATHOMAP_P00126,All
PATHOMAP_P00127,All
PATHOMAP_P00127_hudsonmiseq,All
PATHOMAP_P00128,All
PATHOMAP_P00128_hudsonmiseq,All
PATHOMAP_P00129,All
PATHOMAP_P00130,All
PATHOMAP_P00130_hudsonmiseq,All
PATHOMAP_P00131,All
PATHOMAP_P00132,All
PATHOMAP_P00132_hudsonmiseq,All
PATHOMAP_P00133,All
PATHOMAP_P00133_hudsonmiseq,All
PATHOMAP_P00134,All
PATHOMAP_P00134_hudsonmiseq,All
PATHOMAP_P00135,All
PATHOMAP_P00135_hudsonmiseq,All
PATHOMAP_P00139,All
PATHOMAP_P00141,All
PATHOMAP_P00143,All
PATHOMAP_P00143_hudsonmiseq,All
PATHOMAP_P00147,All
PATHOMAP_P00148,All
PATHOMAP_P00148_hudsonmiseq,All
PATHOMAP_P00149,All
PATHOMAP_P00149_hudsonmiseq,All
PATHOMAP_P00150,All
PATHOMAP_P00151,All
PATHOMAP_P00151_hudsonmiseq,All
PATHOMAP_P00152,All
PATHOMAP_P00152_hudsonmiseq,All
PATHOMAP_P00153,All
PATHOMAP_P00153_hudsonmiseq,All
PATHOMAP_P00154,All
PATHOMAP_P00155,All
PATHOMAP_P00155_hudsonmiseq,All
PATHOMAP_P00156,All
PATHOMAP_P00156_hudsonmiseq,All
PATHOMAP_P00157,All
PATHOMAP_P00158,All
PATHOMAP_P00158_hudsonmiseq,All
PATHOMAP_P00159,All
PATHOMAP_P00159_hudsonmiseq,All
PATHOMAP_P00160,All
PATHOMAP_P00160_hudsonmiseq,All
PATHOMAP_P00161,All
PATHOMAP_P00162,All
PATHOMAP_P00163,All
PATHOMAP_P00163_hudsonmiseq,All
