,assembled,sample_id,project_id,TMDB_material,creation_date,average_length,sequence_count,basepairs_count,source_database,mean_quality_SRA,quality_above_30_SRA,sample_collection_date,TMDB_biome,project_name,seq_platform,sample_depth,sample_latitude,sample_location,sample_longitude,TMDB_water_location,TMDB_water_type,TMDB_soil_condition,sample_elevation,TMDB_water_condition,TMDB_organic_material,TMDB_soil_type,TMDB_other_material,TMDB_anthropogenic_material,TMDB_soil_location,TMDB_gas,TMDB_sediment,TMDB_sludge,sample_ph,sample_temp
SRR6029847,Not inferred,SRS2509081,SRX3180282,soil,2018-08-02,252.0,6847330.0,1725527160.0,SRA,36.2,93.0,2016-05-18,,,,,,,,,,,,,,,,,,,,,,
SRR1611800,No,SRS721042,SRX732108,,2014-10-13,200.0,12440170.0,2488034000.0,SRA,31.67,79.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1573955,No,SRS700173,SRX699974,sediment; water,2015-09-11,142.0,11466495.0,1633055303.0,SRA,36.6,93.0,2005-01-07,,Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes,ILLUMINA,21.0,35.94,United States of America,-84.34,ground water; groundwater,,,,,,,,,,,,,,
SRR1611803,No,SRS720911,SRX732093,,2014-10-13,200.0,26231328.0,5246265600.0,SRA,33.86,85.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1577908,No,SRS703366,SRX703629,water,2015-10-07,200.0,75994297.0,15198859400.0,SRA,33.37,85.0,2013-06-20,,Drinking water samples Metagenome,ILLUMINA,,32.03,China,118.43,,drinking water,,,,,,,,,,,,,
SRR1582210,No,SRS703366,SRX703629,water,2015-10-07,200.0,77130481.0,15426096200.0,SRA,33.44,85.0,2013-06-20,,Drinking water samples Metagenome,ILLUMINA,,32.03,China,118.43,,drinking water,,,,,,,,,,,,,
SRR1582366,No,SRS703366,SRX703629,water,2015-10-07,200.0,67331436.0,13466287200.0,SRA,33.02,84.0,2013-06-20,,Drinking water samples Metagenome,ILLUMINA,,32.03,China,118.43,,drinking water,,,,,,,,,,,,,
SRR1611848,No,SRS721048,SRX732105,,2014-10-13,200.0,13363466.0,2672693200.0,SRA,33.1,83.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1573960,No,SRS700173,SRX699977,sediment; water,2015-09-11,151.0,12388337.0,1870638887.0,SRA,32.51,82.0,2005-01-07,,Oak Ridge Integrated Field Research Challenge (OR-IFRC) Metagenomes,ILLUMINA,21.0,35.94,United States of America,-84.34,ground water; groundwater,,,,,,,,,,,,,,
SRR1582709,No,SRS703366,SRX703629,water,2015-10-07,200.0,74412916.0,14882583200.0,SRA,33.0,84.0,2013-06-20,,Drinking water samples Metagenome,ILLUMINA,,32.03,China,118.43,,drinking water,,,,,,,,,,,,,
SRR1611851,No,SRS721057,SRX732089,,2014-10-13,200.0,11140475.0,2228095000.0,SRA,36.19,91.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855421,Not inferred,SRS2373920,SRX3024655,soil,2017-07-20,300.0,54837084.0,16451125200.0,SRA,35.92,83.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR5855419,Not inferred,SRS2373922,SRX3024657,soil,2017-07-20,300.0,59674207.0,17902262100.0,SRA,35.83,82.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR5855413,Not inferred,SRS2373928,SRX3024663,soil,2017-07-20,300.0,62638062.0,18791418600.0,SRA,35.93,83.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1611855,No,SRS720748,SRX731653,,2014-10-13,200.0,23277928.0,4655585600.0,SRA,32.02,80.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1611934,No,SRS720919,SRX732109,,2014-10-13,200.0,13383294.0,2676658800.0,SRA,32.36,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1584466,No,SRS703366,SRX703629,water,2015-10-07,200.0,76111043.0,15222208600.0,SRA,33.12,84.0,2013-06-20,,Drinking water samples Metagenome,ILLUMINA,,32.03,China,118.43,,drinking water,,,,,,,,,,,,,
SRR1586250,No,SRS709300,SRX710554,soil,2014-10-06,202.0,42689183.0,8623214966.0,SRA,30.21,74.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
